categories,chunks,context,id,targets,time_coords,time_indices,trials,words
animal,0,read,144,animal,6.8000030517578125,8,10,GALLINA
animal,0,read,144,animal,7.650003433227539,9,10,GALLINA
animal,0,read,144,animal,8.500003814697266,10,10,GALLINA
animal,0,read,144,animal,9.350004196166992,11,10,GALLINA
animal,0,read,144,animal,10.200004577636719,12,10,GALLINA
animal,0,read,144,animal,11.050004959106445,13,10,GALLINA
tool,0,read,145,tool,18.700008392333984,22,28,NAVAJA
tool,0,read,145,tool,19.55000877380371,23,28,NAVAJA
tool,0,read,145,tool,20.400009155273438,24,28,NAVAJA
tool,0,read,145,tool,21.250009536743164,25,28,NAVAJA
tool,0,read,145,tool,22.10000991821289,26,28,NAVAJA
tool,0,read,145,tool,22.950010299682617,27,28,NAVAJA
animal,0,read,146,animal,30.600013732910156,36,17,CANGURO
animal,0,read,146,animal,31.450014114379883,37,17,CANGURO
animal,0,read,146,animal,32.30001449584961,38,17,CANGURO
animal,0,read,146,animal,33.150014877319336,39,17,CANGURO
animal,0,read,146,animal,34.00001525878906,40,17,CANGURO
animal,0,read,146,animal,34.85001564025879,41,17,CANGURO
animal,0,read,147,animal,42.50001907348633,50,14,PANTERA
animal,0,read,147,animal,43.350019454956055,51,14,PANTERA
animal,0,read,147,animal,44.20001983642578,52,14,PANTERA
animal,0,read,147,animal,45.05002021789551,53,14,PANTERA
animal,0,read,147,animal,45.900020599365234,54,14,PANTERA
animal,0,read,147,animal,46.75002098083496,55,14,PANTERA
tool,0,read,148,tool,54.4000244140625,64,18,LLAVE
tool,0,read,148,tool,55.25002479553223,65,18,LLAVE
tool,0,read,148,tool,56.10002517700195,66,18,LLAVE
tool,0,read,148,tool,56.95002555847168,67,18,LLAVE
tool,0,read,148,tool,57.800025939941406,68,18,LLAVE
tool,0,read,148,tool,58.65002632141113,69,18,LLAVE
tool,0,read,149,tool,67.1500301361084,79,32,TORNILLO
tool,0,read,149,tool,68.00003051757812,80,32,TORNILLO
tool,0,read,149,tool,68.85003089904785,81,32,TORNILLO
tool,0,read,149,tool,69.70003128051758,82,32,TORNILLO
